Tempo de resposta,Latencia,"Error (0 = OK, 1 = Error)",Timestamp,CPU (%),Memoria (MB)
4.2535717487335205,4.234541,0,2024-09-12 11:08:23,18.5,3489.65234375
4.306573152542114,4.283218,0,2024-09-12 11:08:24,14.1,3490.84765625
4.336570978164673,4.319679,0,2024-09-12 11:08:24,19.2,3513.43359375
4.426571607589722,4.404581,0,2024-09-12 11:08:24,28.2,3523.52734375
4.450570106506348,4.431005,0,2024-09-12 11:08:24,35.3,3520.859375
4.4475696086883545,4.428043,0,2024-09-12 11:08:24,26.4,3490.06640625
4.555572032928467,4.524555,0,2024-09-12 11:08:24,19.8,3495.62890625
4.564570426940918,4.54627,0,2024-09-12 11:08:24,20.0,3500.65234375
4.600568771362305,4.568987,0,2024-09-12 11:08:24,24.0,3500.5703125
4.612569808959961,4.596657,0,2024-09-12 11:08:24,24.4,3500.5078125
4.670570373535156,4.638139,0,2024-09-12 11:08:24,24.7,3500.4765625
4.719570875167847,4.68601,0,2024-09-12 11:08:24,31.6,3500.41015625
4.786572694778442,4.763046,0,2024-09-12 11:08:24,24.4,3500.78515625
4.801570653915405,4.781332,0,2024-09-12 11:08:24,14.3,3500.5546875
4.837573289871216,4.820551,0,2024-09-12 11:08:24,24.4,3514.2421875
4.929571151733398,4.910335,1,2024-09-12 11:08:24,25.0,3517.65625
4.882568836212158,4.847583,0,2024-09-12 11:08:24,24.7,3517.265625
4.9315712451934814,4.908814,0,2024-09-12 11:08:24,21.6,3517.17578125
4.96557092666626,4.933359,0,2024-09-12 11:08:24,18.3,3517.10546875
5.011571407318115,4.987431,0,2024-09-12 11:08:24,7.9,3517.07421875
5.040571212768555,5.007251,0,2024-09-12 11:08:24,17.9,3523.22265625
5.137121677398682,5.129408,0,2024-09-12 11:08:24,24.4,3533.47265625
5.123122692108154,5.101503,0,2024-09-12 11:08:24,22.2,3534.14453125
5.16007661819458,5.128999,0,2024-09-12 11:08:24,17.5,3534.3125
5.19343376159668,5.169334,0,2024-09-12 11:08:24,15.4,3534.28125
5.243335723876953,5.210475,0,2024-09-12 11:08:25,14.3,3535.16796875
5.398336887359619,5.380324,1,2024-09-12 11:08:25,13.6,3535.07421875
5.270334720611572,5.254339,0,2024-09-12 11:08:25,43.0,3535.9609375
5.325339078903198,5.303823,0,2024-09-12 11:08:25,51.1,3537.50390625
5.397478818893433,5.381293,0,2024-09-12 11:08:25,47.9,3544.40625
5.421910524368286,5.395911,0,2024-09-12 11:08:25,22.4,3545.3125
5.487929821014404,5.469095,0,2024-09-12 11:08:25,13.1,3548.8125
5.517926216125488,5.494625,0,2024-09-12 11:08:25,16.7,3548.734375
5.508929014205933,5.477157,0,2024-09-12 11:08:25,23.4,3548.70703125
5.667926073074341,5.645537,1,2024-09-12 11:08:25,21.3,3548.65234375
5.581926345825195,5.563348,0,2024-09-12 11:08:25,17.8,3548.60546875
5.673929691314697,5.640614,0,2024-09-12 11:08:25,20.5,3548.125
5.655928611755371,5.635762,0,2024-09-12 11:08:25,13.9,3547.99609375
5.697927236557007,5.677542,0,2024-09-12 11:08:25,13.9,3547.99609375
5.770928621292114,5.73713,0,2024-09-12 11:08:25,21.6,3548.75
5.795928955078125,5.759481,0,2024-09-12 11:08:25,21.6,3565.921875
5.820927858352661,5.801651,0,2024-09-12 11:08:25,17.9,3565.0
5.9039270877838135,5.883176,0,2024-09-12 11:08:25,25.0,3564.84375
5.908926963806152,5.879319,0,2024-09-12 11:08:25,24.4,3564.80078125
5.981905221939087,5.944588,0,2024-09-12 11:08:25,20.9,3564.80078125
6.01590633392334,5.987196,0,2024-09-12 11:08:25,23.7,3565.9296875
6.009906768798828,5.980746,0,2024-09-12 11:08:25,24.1,3564.875
6.056908369064331,6.023716,0,2024-09-12 11:08:25,22.7,3564.72265625
6.098911762237549,6.066906,0,2024-09-12 11:08:25,18.3,3564.71484375
6.146901607513428,6.120911,0,2024-09-12 11:08:25,15.7,3564.68359375
6.142903804779053,6.122672,0,2024-09-12 11:08:26,16.5,3564.66015625
6.190956115722656,6.172341,0,2024-09-12 11:08:26,18.8,3566.81640625
6.258908748626709,6.238096,0,2024-09-12 11:08:26,27.4,3576.91796875
6.257936239242554,6.237503,0,2024-09-12 11:08:26,21.7,3581.98046875
6.311904191970825,6.288085,0,2024-09-12 11:08:26,17.9,3609.45703125
6.316410541534424,6.295329,0,2024-09-12 11:08:26,20.8,3616.24609375
6.372893333435059,6.34883,0,2024-09-12 11:08:26,20.2,3591.80078125
6.446123361587524,6.422767,0,2024-09-12 11:08:26,21.4,3591.4609375
6.532333612442017,6.511944,1,2024-09-12 11:08:26,19.0,3592.00390625
6.435896635055542,6.410098,0,2024-09-12 11:08:26,18.4,3591.8046875
6.452889442443848,6.431103,0,2024-09-12 11:08:26,8.0,3591.3359375
6.493895769119263,6.471665,0,2024-09-12 11:08:26,8.6,3590.48828125
6.534321069717407,6.518962,0,2024-09-12 11:08:26,10.7,3590.8203125
6.5659019947052,6.545431,0,2024-09-12 11:08:26,12.0,3589.7421875
6.604898929595947,6.58575,0,2024-09-12 11:08:26,13.9,3590.2265625
6.623898983001709,6.605748,0,2024-09-12 11:08:26,15.6,3588.69140625
6.676892042160034,6.656265,0,2024-09-12 11:08:26,14.9,3589.19921875
6.812845945358276,6.791086,0,2024-09-12 11:08:26,12.5,3588.59375
6.728898763656616,6.709054,0,2024-09-12 11:08:26,13.5,3588.8203125
6.768884658813477,6.747236,0,2024-09-12 11:08:26,15.8,3587.96875
6.826330184936523,6.798176,0,2024-09-12 11:08:26,13.6,3587.94921875
