Tempo de resposta,Latencia,"Error (0 = OK, 1 = Error)"
19.885637998580933,19.869925,1
19.87064027786255,19.847625,0
19.99963665008545,19.969043,0
20.02563738822937,20.01041,1
20.11663556098938,20.09994,0
20.243629932403564,20.222619,0
20.36263084411621,20.336057,1
20.380631685256958,20.357118,0
20.487632274627686,20.461899,0
20.614637851715088,20.58813,0
20.736640214920044,20.715463,0
20.848217487335205,20.833134,0
20.944076538085938,20.928829,1
20.9903244972229,20.976561,0
21.1146297454834,21.093153,0
21.257852792739868,21.231291,0
21.379622220993042,21.353197,0
21.488622188568115,21.46378,0
21.59963583946228,21.585389,0
21.736605644226074,21.712611,0
21.794660806655884,21.778855,1
21.871776580810547,21.8449,0
21.983678817749023,21.962386,0
22.041696071624756,22.025687,1
22.09311556816101,22.063321,0
22.233609437942505,22.207528,0
