Tempo de resposta,Latencia,"Error (0 = OK, 1 = Error)",Timestamp,CPU (%),Memória (MB)
13.267473220825195,13.255221,0,2024-09-12 12:25:56,14.1,3339.1953125
13.41747260093689,13.39001,0,2024-09-12 12:25:56,17.1,3337.61328125
13.515475034713745,13.504802,0,2024-09-12 12:25:56,8.3,3337.4375
13.619473695755005,13.603894,1,2024-09-12 12:25:56,9.3,3337.47265625
13.644474267959595,13.630721,0,2024-09-12 12:25:56,12.8,3333.89453125
13.76947283744812,13.751443,0,2024-09-12 12:25:57,10.6,3333.8046875
13.888473987579346,13.865212,0,2024-09-12 12:25:57,7.9,3333.23046875
13.996474504470825,13.969666,0,2024-09-12 12:25:57,9.7,3339.51171875
14.106473445892334,14.092535,0,2024-09-12 12:25:57,5.6,3339.4921875
14.119479179382324,14.102653,1,2024-09-12 12:25:57,18.6,3339.328125
14.241472721099854,14.228238,1,2024-09-12 12:25:57,17.6,3339.26953125
14.24547290802002,14.221678,0,2024-09-12 12:25:57,11.1,3339.16015625
14.349475145339966,14.326899,0,2024-09-12 12:25:57,17.4,3339.03515625
14.460471868515015,14.448704,0,2024-09-12 12:25:57,11.7,3337.61328125
14.609474658966064,14.586858,0,2024-09-12 12:25:58,20.8,3333.22265625
14.72347354888916,14.708839,0,2024-09-12 12:25:58,11.1,3336.60546875
14.8624746799469,14.837135,0,2024-09-12 12:25:58,13.9,3360.89453125
14.957472562789917,14.946144,0,2024-09-12 12:25:58,19.0,3333.8515625
15.097473621368408,15.07269,0,2024-09-12 12:25:58,7.7,3339.88671875
15.207475185394287,15.19364,0,2024-09-12 12:25:58,12.5,3339.43359375
15.297009468078613,15.281981,1,2024-09-12 12:25:58,5.7,3339.3203125
15.345131635665894,15.324799,0,2024-09-12 12:25:58,7.9,3339.30078125
15.465139865875244,15.44199,0,2024-09-12 12:25:58,14.9,3339.9140625
15.575140476226807,15.549756,0,2024-09-12 12:25:58,18.8,3339.90625
15.700141191482544,15.682567,0,2024-09-12 12:25:58,8.0,3338.50390625
15.810141563415527,15.796905,0,2024-09-12 12:25:58,5.6,3335.05859375
15.961141109466553,15.939817,0,2024-09-12 12:25:59,8.3,3333.95703125
16.08214044570923,16.056637,0,2024-09-12 12:25:59,6.9,3332.9140625
16.11314105987549,16.099632,1,2024-09-12 12:25:59,10.5,3332.796875
16.128140926361084,16.112972,1,2024-09-12 12:25:59,9.9,3339.47265625
16.153140783309937,16.138045,1,2024-09-12 12:25:59,6.7,3339.375
16.203140020370483,16.181853,0,2024-09-12 12:25:59,14.8,3338.98046875
16.318140268325806,16.29168,0,2024-09-12 12:25:59,13.7,3339.5859375
16.439138412475586,16.418637,0,2024-09-12 12:25:59,7.3,3338.87109375
16.551140069961548,16.526764,0,2024-09-12 12:25:59,10.3,3338.57421875
16.65513825416565,16.629312,0,2024-09-12 12:26:00,17.3,3336.65234375
16.780138969421387,16.754294,0,2024-09-12 12:26:00,6.2,3336.5078125
16.890137672424316,16.876961,0,2024-09-12 12:26:00,18.2,3382.3125
17.0451443195343,17.033898,0,2024-09-12 12:26:00,6.2,3346.984375
17.15614342689514,17.144205,0,2024-09-12 12:26:00,9.2,3346.62109375
17.19014263153076,17.173105,1,2024-09-12 12:26:00,6.9,3345.97265625
17.283138751983643,17.266509,0,2024-09-12 12:26:00,5.6,3345.9765625
17.420761585235596,17.40919,0,2024-09-12 12:26:00,6.9,3346.52734375
17.546692848205566,17.525371,0,2024-09-12 12:26:00,8.4,3345.85546875
17.654670238494873,17.643061,0,2024-09-12 12:26:00,13.3,3346.46484375
17.792675256729126,17.766414,0,2024-09-12 12:26:00,7.1,3342.44921875
17.889673233032227,17.866007,0,2024-09-12 12:26:01,20.2,3341.96875
18.000675916671753,17.977981,0,2024-09-12 12:26:01,13.9,3341.4296875
18.122668027877808,18.096082,1,2024-09-12 12:26:01,6.9,3340.8359375
18.126067399978638,18.104767,0,2024-09-12 12:26:01,5.6,3340.74609375
18.2286696434021,18.205886,0,2024-09-12 12:26:01,9.5,3345.12109375
18.345280408859253,18.321468,0,2024-09-12 12:26:01,10.1,3344.80078125
18.453890800476074,18.431451,0,2024-09-12 12:26:01,14.7,3344.16015625
18.55566167831421,18.529398,0,2024-09-12 12:26:01,13.7,3344.0546875
18.664664268493652,18.651209,0,2024-09-12 12:26:01,9.2,3343.4765625
18.79563570022583,18.780608,0,2024-09-12 12:26:02,10.8,3342.8671875
18.908747911453247,18.897202,0,2024-09-12 12:26:02,17.5,3342.75
18.921746730804443,18.902836,1,2024-09-12 12:26:02,12.7,3342.0859375
19.040647268295288,19.025119,1,2024-09-12 12:26:02,16.5,3354.23046875
19.0426504611969,19.021132,0,2024-09-12 12:26:02,20.8,3337.90625
19.149651050567627,19.126633,0,2024-09-12 12:26:02,9.2,3337.74609375
19.264649629592896,19.241912,0,2024-09-12 12:26:02,6.8,3337.74609375
19.352646350860596,19.340914,0,2024-09-12 12:26:02,17.8,3337.5703125
19.4923837184906,19.466428,0,2024-09-12 12:26:02,11.9,3337.875
19.61853051185608,19.592677,0,2024-09-12 12:26:02,11.9,3338.1484375
19.73665499687195,19.723503,0,2024-09-12 12:26:03,6.7,3339.58984375
19.74165439605713,19.724278,1,2024-09-12 12:26:03,9.0,3339.578125
19.885637998580933,19.869925,1,2024-09-12 12:26:03,6.8,3341.75390625
19.87064027786255,19.847625,0,2024-09-12 12:26:03,8.0,3342.69140625
19.99963665008545,19.969043,0,2024-09-12 12:26:03,5.9,3342.66015625
20.02563738822937,20.01041,1,2024-09-12 12:26:03,6.9,3350.24609375
20.11663556098938,20.09994,0,2024-09-12 12:26:03,8.3,3350.26171875
20.243629932403564,20.222619,0,2024-09-12 12:26:03,8.3,3350.15234375
20.36263084411621,20.336057,1,2024-09-12 12:26:03,14.5,3350.07421875
20.380631685256958,20.357118,0,2024-09-12 12:26:03,5.6,3349.94921875
20.487632274627686,20.461899,0,2024-09-12 12:26:04,14.5,3345.703125
20.614637851715088,20.58813,0,2024-09-12 12:26:04,6.8,3345.60546875
20.736640214920044,20.715463,0,2024-09-12 12:26:04,12.5,3345.38671875
20.848217487335205,20.833134,0,2024-09-12 12:26:04,15.5,3345.37109375
20.944076538085938,20.928829,1,2024-09-12 12:26:04,6.8,3344.6640625
20.9903244972229,20.976561,0,2024-09-12 12:26:04,8.6,3344.6328125
21.1146297454834,21.093153,0,2024-09-12 12:26:04,14.8,3350.12890625
21.257852792739868,21.231291,0,2024-09-12 12:26:04,20.7,3369.71484375
21.379622220993042,21.353197,0,2024-09-12 12:26:04,14.7,3341.11328125
21.488622188568115,21.46378,0,2024-09-12 12:26:04,37.0,3343.765625
21.59963583946228,21.585389,0,2024-09-12 12:26:04,10.7,3345.48046875
21.736605644226074,21.712611,0,2024-09-12 12:26:04,8.1,3345.46484375
21.794660806655884,21.778855,1,2024-09-12 12:26:05,25.9,3344.4140625
21.871776580810547,21.8449,0,2024-09-12 12:26:05,9.3,3343.32421875
21.983678817749023,21.962386,0,2024-09-12 12:26:05,17.5,3343.26953125
22.041696071624756,22.025687,1,2024-09-12 12:26:05,14.3,3340.30078125
22.09311556816101,22.063321,0,2024-09-12 12:26:05,11.1,3349.37890625
22.233609437942505,22.207528,0,2024-09-12 12:26:05,11.1,3349.10546875
22.343610286712646,22.325602,0,2024-09-12 12:26:05,6.7,3348.94921875
22.456645965576172,22.434641,0,2024-09-12 12:26:05,9.3,3348.7578125
22.540605068206787,22.520281,1,2024-09-12 12:26:05,6.8,3348.640625
22.55960512161255,22.535306,0,2024-09-12 12:26:06,10.7,3346.22265625
22.64772129058838,22.639556,0,2024-09-12 12:26:06,5.6,3346.16015625
22.785601139068604,22.763038,0,2024-09-12 12:26:06,16.9,3345.97265625
22.905654191970825,22.878949,0,2024-09-12 12:26:06,5.6,3345.375
23.022789001464844,23.001,0,2024-09-12 12:26:06,14.3,3344.9453125
23.1548171043396,23.130377,0,2024-09-12 12:26:06,14.3,3347.55859375
23.273634433746338,23.251876,0,2024-09-12 12:26:06,5.6,3347.98828125
23.377699613571167,23.351222,0,2024-09-12 12:26:06,8.0,3347.48046875
23.493595361709595,23.473117,0,2024-09-12 12:26:06,21.4,3366.47265625
23.617615938186646,23.601914,1,2024-09-12 12:26:06,7.7,3336.140625
23.624626398086548,23.598148,0,2024-09-12 12:26:07,16.0,3337.41796875
23.74412488937378,23.733021,0,2024-09-12 12:26:07,24.3,3343.2109375
23.857581615447998,23.844308,0,2024-09-12 12:26:07,15.3,3343.79296875
24.00358009338379,23.980379,0,2024-09-12 12:26:07,10.6,3344.59765625
24.116587162017822,24.111426,0,2024-09-12 12:26:07,13.5,3346.9453125
24.248578548431396,24.236201,0,2024-09-12 12:26:07,9.7,3345.74609375
24.380167245864868,24.355873,0,2024-09-12 12:26:07,6.0,3349.24609375
24.506457805633545,24.488514,0,2024-09-12 12:26:07,12.0,3348.3125
24.542588472366333,24.528042,1,2024-09-12 12:26:07,11.7,3348.140625
